18/03/21 02:16:39 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/21 02:16:39 INFO client.RMProxy: Connecting to ResourceManager at cluster-2909-m/10.138.0.4:8032
18/03/21 02:16:40 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/21 02:16:44 INFO input.FileInputFormat: Total input files to process : 3035
18/03/21 02:16:44 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/21 02:16:45 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1521598375209_0001
18/03/21 02:16:46 INFO impl.YarnClientImpl: Submitted application application_1521598375209_0001
18/03/21 02:16:46 INFO mapreduce.Job: The url to track the job: http://cluster-2909-m:8088/proxy/application_1521598375209_0001/
18/03/21 02:16:46 INFO mapreduce.Job: Running job: job_1521598375209_0001
18/03/21 02:16:56 INFO mapreduce.Job: Job job_1521598375209_0001 running in uber mode : false
		Launched map tasks=3035
		Launched reduce tasks=8
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=122366540
		Total time spent by all reduces in occupied slots (ms)=6487296
		Total time spent by all map tasks (ms)=30591635
		Total time spent by all reduce tasks (ms)=1621824
		Total vcore-milliseconds taken by all map tasks=30591635
		Total vcore-milliseconds taken by all reduce tasks=1621824
		Total megabyte-milliseconds taken by all map tasks=62651668480
		Total megabyte-milliseconds taken by all reduce tasks=3321495552
	Map-Reduce Framework
		Map input records=3035
		Map output records=210623260
		Map output bytes=2999192680
		Map output materialized bytes=3420584909
		Input split bytes=430643
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218245
		Reduce shuffle bytes=3420584909
		Reduce input records=210623260
		Reduce output records=1218245
		Spilled Records=421246520
		Shuffled Maps =24280
		Failed Shuffles=0
		Merged Map outputs=24280
		GC time elapsed (ms)=641244
		CPU time spent (ms)=5415020
		Physical memory (bytes) snapshot=1453074591744
		Virtual memory (bytes) snapshot=10629563580416
		Total committed heap usage (bytes)=1323071176704
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141053926
	File Output Format Counters 
		Bytes Written=235895406
Job output is complete
